species	group
_eubacterium_hallii_gca_001405175	nonvertebrates
_eubacterium_hallii_gca_001406155	nonvertebrates
_eubacterium_hallii_gca_003466185	nonvertebrates
_eubacterium_hallii_gca_003466615	nonvertebrates
_eubacterium_hallii_gca_003468475	nonvertebrates
_eubacterium_hallii_gca_003473385	nonvertebrates
_eubacterium_hallii_gca_003475545	nonvertebrates
_eubacterium_hallii_gca_900209925	nonvertebrates
_eubacterium_infirmum_gca_900450455	nonvertebrates
_eubacterium_rectale_atcc_33656_gca_000020605	nonvertebrates
_eubacterium_rectale_dsm_17629_gca_000209935	nonvertebrates
_eubacterium_rectale_gca_001404855	nonvertebrates
_eubacterium_rectale_gca_001405295	nonvertebrates
_eubacterium_rectale_gca_001406375	nonvertebrates
_eubacterium_rectale_gca_001406835	nonvertebrates
_eubacterium_rectale_gca_003122495	nonvertebrates
_eubacterium_rectale_gca_003436035	nonvertebrates
_eubacterium_rectale_gca_003436785	nonvertebrates
_eubacterium_rectale_gca_003438175	nonvertebrates
_eubacterium_rectale_gca_003438365	nonvertebrates
_eubacterium_rectale_gca_003438715	nonvertebrates
_eubacterium_rectale_gca_003458455	nonvertebrates
_eubacterium_rectale_gca_003460265	nonvertebrates
_eubacterium_rectale_gca_003460385	nonvertebrates
_eubacterium_rectale_gca_003463765	nonvertebrates
_eubacterium_rectale_gca_003464935	nonvertebrates
_eubacterium_rectale_gca_003465565	nonvertebrates
_eubacterium_rectale_gca_003466795	nonvertebrates
_eubacterium_rectale_gca_003467085	nonvertebrates
_eubacterium_rectale_gca_003467275	nonvertebrates
_eubacterium_rectale_gca_003468405	nonvertebrates
_eubacterium_rectale_gca_003468965	nonvertebrates
_eubacterium_rectale_gca_003469095	nonvertebrates
_eubacterium_rectale_gca_003470065	nonvertebrates
_eubacterium_rectale_gca_003471975	nonvertebrates
_eubacterium_rectale_gca_003474555	nonvertebrates
_eubacterium_rectale_gca_003474615	nonvertebrates
_eubacterium_rectale_gca_003474775	nonvertebrates
_eubacterium_rectale_m104_1_gca_000209955	nonvertebrates
_eubacterium_siraeum_70_3_gca_000209915	nonvertebrates
_eubacterium_siraeum_dsm_15702_gca_000154325	nonvertebrates
_eubacterium_siraeum_gca_001404415	nonvertebrates
_eubacterium_siraeum_v10sc8a_gca_000210635	nonvertebrates
_eubacterium_yurii_gca_900167215	nonvertebrates
_eubacterium_yurii_subsp_margaretiae_atcc_43715_gca_000146855	nonvertebrates
_flavobacterium_sp_29_gca_002754355	nonvertebrates
_flavobacterium_thermophilum_gca_900450595	nonvertebrates
_flexibacter_sp_atcc_35103_gca_001975985	nonvertebrates
_flexibacter_sp_atcc_35208_gca_001975825	nonvertebrates
_haemophilus_ducreyi_35000hp_gca_000007945	nonvertebrates
_haemophilus_ducreyi_gca_900637315	nonvertebrates
_haemophilus_felis_gca_002015125	nonvertebrates
_mannheimia_succiniciproducens_mbel55e_gca_000007745	nonvertebrates
_mycobacterium_stephanolepidis_gca_002356335	nonvertebrates
_nostoc_azollae_0708_gca_000196515	nonvertebrates
_osedax_symbiont_bacterium_rs2_46_30_t18_gca_002163025	nonvertebrates
_pasteurella_aerogenes_gca_900637275	nonvertebrates
_pasteurella_mairii_gca_900454475	nonvertebrates
_propionibacterium_namnetense_sk182b_jcvi_gca_000221145	nonvertebrates
_ruminococcus_gnavus_atcc_29149_gca_000169475	nonvertebrates
_ruminococcus_gnavus_cag_126_gca_000433555	nonvertebrates
_ruminococcus_gnavus_gca_002865285	nonvertebrates
_ruminococcus_gnavus_gca_002865305	nonvertebrates
_ruminococcus_gnavus_gca_002865325	nonvertebrates
_ruminococcus_gnavus_gca_002865345	nonvertebrates
_ruminococcus_gnavus_gca_002865355	nonvertebrates
_ruminococcus_gnavus_gca_002865405	nonvertebrates
_ruminococcus_gnavus_gca_002865485	nonvertebrates
_ruminococcus_gnavus_gca_003436535	nonvertebrates
_ruminococcus_gnavus_gca_003438585	nonvertebrates
_ruminococcus_gnavus_gca_003457855	nonvertebrates
_ruminococcus_gnavus_gca_003459705	nonvertebrates
_ruminococcus_gnavus_gca_003467625	nonvertebrates
_ruminococcus_gnavus_gca_003468635	nonvertebrates
_ruminococcus_gnavus_gca_003470265	nonvertebrates
_ruminococcus_gnavus_gca_003471005	nonvertebrates
_ruminococcus_gnavus_gca_003471265	nonvertebrates
_ruminococcus_gnavus_gca_003475065	nonvertebrates
_ruminococcus_gnavus_gca_003475365	nonvertebrates
_ruminococcus_torques_atcc_27756_gca_000153925	nonvertebrates
_ruminococcus_torques_cag_61_gca_000432115	nonvertebrates
_ruminococcus_torques_gca_001405315	nonvertebrates
_ruminococcus_torques_gca_001406235	nonvertebrates
_ruminococcus_torques_gca_001406495	nonvertebrates
_ruminococcus_torques_gca_001406755	nonvertebrates
_ruminococcus_torques_gca_003470435	nonvertebrates
_ruminococcus_torques_gca_004167165	nonvertebrates
_ruminococcus_torques_l2_14_gca_000210035	nonvertebrates
abditibacterium_utsteinense_gca_002973605	nonvertebrates
abiotrophia_defectiva_atcc_49176_gca_000160075	nonvertebrates
abiotrophia_sp_hmsc24b09_gca_001815865	nonvertebrates
absicoccus_porci_gca_003725415	nonvertebrates
absiella_sp_am09_45_gca_003433745	nonvertebrates
absiella_sp_am27_20_gca_003480975	nonvertebrates
abyssibacter_profundi_gca_003151135	nonvertebrates
abyssicoccus_albus_gca_003815035	nonvertebrates
acaryochloris_marina_mbic11017_gca_000018105	nonvertebrates
acaryochloris_thomasi_rcc1774_gca_003231495	nonvertebrates
acetanaerobacterium_elongatum_gca_900103835	nonvertebrates
acetatifactor_muris_gca_900248245	nonvertebrates
